Timestamp,VehicleId,RealSpeed,MeasuredSpeed,OptimalSpeed,PositionX,PositionY,Distance,FuelConsumption,Error
18,4,0,36,00,37,56,60,00,1852,13,1261,41,0,165,582,5100,1,56
18,7,0,36,00,37,48,60,00,1849,14,1261,17,0,168,582,5100,1,48
19,0,0,36,00,35,41,60,00,1847,15,1261,02,0,170,582,5100,0,59
19,2,0,36,00,36,58,60,00,1844,15,1260,78,0,173,582,5100,0,58
19,5,0,36,00,37,45,60,00,1841,16,1260,55,0,176,582,5100,1,45
19,8,0,36,00,36,16,60,00,1838,17,1260,32,0,179,582,5100,0,16
20,1,0,36,00,34,98,60,00,1836,18,1260,16,0,181,582,5100,1,02
20,3,0,36,00,36,59,60,00,1833,19,1259,93,0,184,582,5100,0,59
20,6,0,36,00,37,72,60,00,1830,20,1259,70,0,187,582,5100,1,72
20,9,0,36,00,36,58,60,00,1827,21,1259,86,0,190,582,5100,0,58
21,2,0,36,00,35,96,60,00,1825,50,1260,88,0,192,582,5100,0,04
21,4,0,36,00,35,07,60,00,1824,67,1263,69,0,195,582,5100,0,93
21,7,0,36,00,37,33,60,00,1824,87,1266,68,0,198,582,5100,1,33
22,0,0,36,00,35,81,60,00,1825,28,1269,65,0,201,582,5100,0,19
22,3,0,36,00,35,10,60,00,1825,55,1271,63,0,203,582,5100,0,90
22,5,0,36,00,36,94,60,00,1825,95,1274,61,0,206,582,5100,0,94
22,8,0,36,00,37,86,60,00,1826,36,1277,58,0,209,582,5100,1,86
23,1,0,36,00,37,59,60,00,1826,77,1280,55,0,212,582,5100,1,59
23,4,0,36,00,35,02,60,00,1827,04,1282,53,0,214,582,5100,0,98
23,6,0,36,00,35,72,60,00,1827,44,1285,50,0,217,582,5100,0,28
23,9,0,36,00,34,40,60,00,1827,85,1288,48,0,220,582,5100,1,60
24,2,0,36,00,35,64,60,00,1828,25,1291,45,0,223,582,5100,0,36
24,5,0,36,00,34,61,60,00,1828,53,1293,43,0,225,582,5100,1,39
24,7,0,36,00,34,23,60,00,1828,93,1296,40,0,228,582,5100,1,77
25,0,0,36,00,34,20,60,00,1829,34,1299,37,0,231,582,5100,1,80
25,3,0,36,00,35,21,60,00,1829,74,1302,35,0,234,582,5100,0,79
25,6,0,36,00,37,38,60,00,1830,01,1304,33,0,236,582,5100,1,38
25,8,0,36,00,36,11,60,00,1830,42,1307,30,0,239,582,5100,0,11
26,1,0,36,00,37,32,60,00,1830,83,1310,27,0,242,582,5100,1,32
26,4,0,36,00,36,11,60,00,1831,23,1313,25,0,245,582,5100,0,11
26,7,0,36,00,36,05,60,00,1831,50,1315,23,0,247,582,5100,0,05
26,9,0,36,00,37,69,60,00,1831,91,1318,20,0,250,582,5100,1,69
27,2,0,36,00,37,45,60,00,1832,32,1321,17,0,253,582,5100,1,45
27,5,0,36,00,36,70,60,00,1832,72,1324,14,0,256,582,5100,0,70
27,8,0,36,00,37,70,60,00,1832,99,1326,13,0,258,582,5100,1,70
28,0,0,36,00,35,07,60,00,1833,40,1329,10,0,261,582,5100,0,93
28,3,0,36,00,36,61,60,00,1833,80,1332,07,0,264,582,5100,0,61
28,6,0,36,00,34,22,60,00,1834,21,1335,04,0,267,582,5100,1,78
