Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.8,160,160,1.7358953765012812,0.6966744482494158,1136.8140781697857,3564.065747193208,1084.5793460583245,1910.5986393814853,48,7874
2.4,160,160,10.0,16.696674448249418,673.7222222222221,2112.222222222222,1100.4165172312278,1908.3110886319641,47,3501
3.9,160,160,10.0,31.696674448249418,673.7222222222221,2112.222222222222,1115.3031251395303,1906.4555581072525,46,0027
5.6,160,160,10.0,48.69667444824942,673.7222222222221,2112.222222222222,1132.2565852698785,1905.345103885557,44,4756
7.4,160,160,10.0,66.69667444824941,673.7222222222221,2112.222222222222,1150.2552549933662,1905.1228980865017,42,8586
9.2,160,160,10.0,84.69667444824941,673.7222222222221,2112.222222222222,1168.246579530081,1905.35773779346,41,2417
10.8,160,160,10.0,100.69667444824941,673.7222222222221,2112.222222222222,1184.2307879866426,1906.0692538609678,39,8044
12.5,160,160,10.0,117.69667444824942,673.7222222222221,2112.222222222222,1201.2140094717397,1906.825239682695,38,2773
14.3,160,160,10.0,135.69667444824944,673.7222222222221,2112.222222222222,1219.136477469407,1908.438091784751,36,6604
16.0,160,160,10.0,152.6966744482494,673.7222222222221,2112.222222222222,1231.121153203577,1901.7432830796747,35,1333
17.8,160,160,10.0,170.6966744482494,673.7222222222221,2112.222222222222,1232.7520590833456,1883.8187366304999,33,5164
19.6,160,160,10.0,188.6966744482494,673.7222222222221,2112.222222222222,1234.5502814725512,1865.9142517016023,31,8994
20.7,160,160,10.0,199.6966744482494,673.7222222222221,2112.222222222222,1236.6216429231026,1855.1392358704693,30,9113
22.4,160,160,10.0,216.6966744482494,673.7222222222221,2112.222222222222,1252.4192446384216,1856.385704677573,29,3842
23.4,160,160,10.0,226.6966744482494,673.7222222222221,2112.222222222222,1261.9721584599952,1859.337188841283,28,4859
25.1,160,160,10.0,243.6966744482494,673.7222222222221,2112.222222222222,1278.2121119566702,1864.3547119195907,26,9588
26.8,160,160,10.0,260.69667444824944,673.7222222222221,2112.222222222222,1294.7631268466862,1868.0988537719259,25,4317
28.4,160,160,10.0,276.69667444824944,673.7222222222221,2112.222222222222,1310.7366744482495,1868.919074328152,23,9944
30.1,160,160,10.0,293.69667444824944,673.7222222222221,2112.222222222222,1327.7366744482495,1869.211800742563,22,4673
31.9,160,160,10.0,311.6966744482494,673.7222222222221,2112.222222222222,1345.6801968149123,1868.11825766692,20,8504
33.7,160,160,10.0,329.6966744482494,673.7222222222221,2112.222222222222,1363.5553403305942,1865.999213270449,19,2335
35.0,160,160,10.0,342.6966744482494,673.7222222222221,2112.222222222222,1376.4662504183134,1864.4775575686945,18,0657
36.9,160,160,10.0,361.6966744482494,673.7222222222221,2112.222222222222,1395.2288464202104,1861.6274619176402,16,3589
38.6,160,160,10.0,378.69667444824944,673.7222222222221,2112.222222222222,1411.1918948056611,1855.8753294671515,14,8318
40.3,160,160,10.0,395.6966744482494,673.7222222222221,2112.222222222222,1426.2390053905356,1847.9804877559397,13,3047
42.1,160,160,10.0,413.6966744482494,673.7222222222221,2112.222222222222,1442.072729983885,1839.4176659346408,11,6878
43.7,160,160,10.0,429.6966744482494,673.7222222222221,2112.222222222222,1456.0084044968337,1831.5605927384017,10,2505
45.5,160,160,10.0,447.69667444824944,673.7222222222221,2112.222222222222,1471.1971930802954,1821.904325066311,8,6336
47.2,160,160,10.0,464.69667444824944,673.7222222222221,2112.222222222222,1485.5193835069342,1812.7475872931582,7,1065
49.0,160,160,10.0,482.69667444824944,673.7222222222221,2112.222222222222,1500.6840557233754,1803.0522178862902,5,4895
50.6,160,160,10.0,498.69667444824944,673.7222222222221,2112.222222222222,1514.163764360212,1794.434111746852,4,0522
52.1,160,160,10.0,513.6966744482495,673.7222222222221,2112.222222222222,1526.0249962892372,1785.3898621751614,50,0000
58.0,160,160,10.0,534.6966744482495,673.7222222222221,2112.222222222222,1540.7128784430765,1770.3884363017319,44,7001
59.1,160,160,10.0,545.6966744482495,673.7222222222221,2112.222222222222,1548.2033065678916,1762.336428400441,43,7119
60.7,160,160,10.0,561.6966744482494,673.7222222222221,2112.222222222222,1559.636671247829,1751.1535015881443,42,2747
62.3,160,160,10.0,577.6966744482494,673.7222222222221,2112.222222222222,1571.2747433114014,1740.1770377696369,40,8374
63.7,160,160,10.0,591.6966744482494,673.7222222222221,2112.222222222222,1581.562455637476,1730.684315656055,39,5798
64.8,160,160,10.0,602.6966744482495,673.7222222222221,2112.222222222222,1589.542293944171,1723.1047377645023,38,5916
66.3,160,160,10.0,617.6966744482495,673.7222222222221,2112.222222222222,1600.1704172862287,1712.5197632088295,37,2442
68.1,160,160,10.0,635.6966744482494,673.7222222222221,2112.222222222222,1613.1054961787606,1700.0021019163646,35,6273
69.9,160,160,10.0,653.6966744482494,673.7222222222221,2112.222222222222,1626.127884149445,1687.5747920117763,34,0103
71.7,160,160,10.0,671.6966744482494,673.7222222222221,2112.222222222222,1640.260751278321,1676.4461512977389,32,3934
73.4,160,160,10.0,688.6966744482494,673.7222222222221,2112.222222222222,1653.7650897113926,1666.118942771333,30,8663
75.2,160,160,10.0,706.6966744482494,673.7222222222221,2112.222222222222,1668.0638009934687,1655.1842513904326,29,2494
77.0,160,160,10.0,724.6966744482494,673.7222222222221,2112.222222222222,1682.3154021781984,1644.1883250954975,27,6324
78.8,160,160,10.0,742.6966744482494,673.7222222222221,2112.222222222222,1696.144452087068,1632.677357073733,26,0155
80.6,160,160,10.0,760.6966744482495,673.7222222222221,2112.222222222222,1709.743715312067,1620.8717500255439,24,3986
82.3,160,160,10.0,777.6966744482495,673.7222222222221,2112.222222222222,1722.7672682581058,1609.9529955919677,22,8715
84.1,160,160,10.0,795.6966744482495,673.7222222222221,2112.222222222222,1737.218930262171,1599.2239560718408,21,2545
85.9,160,160,10.0,813.6966744482495,673.7222222222221,2112.222222222222,1752.8833162509595,1590.3696691691637,19,6376
87.7,160,160,10.0,831.6966744482494,673.7222222222221,2112.222222222222,1769.8012897842227,1584.6713104143182,18,0207
89.5,160,160,10.0,849.6966744482494,673.7222222222221,2112.222222222222,1787.7087959063244,1582.9533968164014,16,4037
91.1,160,160,10.0,865.6966744482494,673.7222222222221,2112.222222222222,1803.6744776198748,1581.9366962059662,14,9664
92.8,160,160,10.0,882.6966744482494,673.7222222222221,2112.222222222222,1820.6425016846579,1580.8746727859407,13,4393
94.6,160,160,10.0,900.6966744482494,673.7222222222221,2112.222222222222,1838.6096549693293,1579.7531920768686,11,8224
96.4,160,160,10.0,918.6966744482494,673.7222222222221,2112.222222222222,1856.5663071555068,1578.550817681433,10,2055
98.2,160,160,10.0,936.6966744482494,673.7222222222221,2112.222222222222,1874.5153720449048,1577.206904767077,8,5885
100.0,160,160,10.0,954.6966744482494,673.7222222222221,2112.222222222222,1892.4758974085648,1576.013413363485,6,9716
101.8,160,160,10.0,972.6966744482494,673.7222222222221,2112.222222222222,1910.4451100902027,1574.9396038878974,5,3547
103.6,160,160,10.0,990.6966744482494,673.7222222222221,2112.222222222222,1928.4175353775374,1573.8266888079254,3,7377
105.2,160,160,10.0,1006.6966744482494,673.7222222222221,2112.222222222222,1944.3849443943761,1572.8163683299244,50,0000
109.3,160,160,10.0,1023.6966744482494,673.7222222222221,2112.222222222222,1961.3503164747672,1571.7429028220483,46,3170
111.2,160,160,10.0,1042.6966744482493,673.7222222222221,2112.222222222222,1980.311614682263,1570.5431472544221,44,6102
113.0,160,160,10.0,1060.6966744482493,673.7222222222221,2112.222222222222,1998.2749117672329,1569.4041817678115,42,9933
114.9,160,160,10.0,1079.6966744482495,673.7222222222221,2112.222222222222,2017.2327734652572,1568.130503164313,41,2865
116.5,160,160,10.0,1095.6966744482495,673.7222222222221,2112.222222222222,2033.191863212125,1567.013653253804,39,8493
118.5,160,160,10.0,1115.6966744482493,673.7222222222221,2112.222222222222,2053.141827209816,1565.615193893249,38,0527
120.3,160,160,10.0,1133.6966744482495,673.7222222222221,2112.222222222222,2071.1010662010194,1564.3304015762367,36,4357
122.2,160,160,10.0,1152.6966744482495,673.7222222222221,2112.222222222222,2090.051028578747,1562.9531755917874,34,7290
124.0,160,160,10.0,1170.6966744482495,673.7222222222221,2112.222222222222,2108.0036245155416,1561.6484351854667,33,1120
125.6,160,160,10.0,1186.6966744482495,673.7222222222221,2112.222222222222,2123.9614875704697,1560.488665935404,31,6748
127.0,160,160,10.0,1200.6966744482495,673.7222222222221,2112.222222222222,2137.924617743532,1559.4738678415993,30,4171
128.8,160,160,10.0,1218.6966744482495,673.7222222222221,2112.222222222222,2155.8689431687712,1558.0358589895416,28,8002
130.7,160,160,10.0,1237.6966744482495,673.7222222222221,2112.222222222222,2174.784843747593,1556.2503635860685,27,0934
132.5,160,160,10.0,1255.6966744482493,673.7222222222221,2112.222222222222,2192.2771026950286,1552.5622259068934,25,4765
134.3,160,160,10.0,1273.6966744482493,673.7222222222221,2112.222222222222,2208.5732368207464,1544.943646168517,23,8596
136.2,160,160,10.0,1292.6966744482493,673.7222222222221,2112.222222222222,2225.294202033345,1535.9218552045054,22,1528
138.0,160,160,10.0,1310.6966744482493,673.7222222222221,2112.222222222222,2241.1471086631664,1527.3966982440033,20,5359
139.9,160,160,10.0,1329.6966744482493,673.7222222222221,2112.222222222222,2257.8848984448455,1518.4013122435533,18,8291
141.8,160,160,10.0,1348.6966744482493,673.7222222222221,2112.222222222222,2274.6226882265246,1509.405926243103,17,1224
143.3,160,160,10.0,1363.6966744482493,673.7222222222221,2112.222222222222,2287.8367327910078,1502.304305716432,15,7749
145.1,160,160,10.0,1381.6966744482493,673.7222222222221,2112.222222222222,2303.693586268388,1493.7823610844266,14,1580
147.0,160,160,10.0,1400.696674448249,673.7222222222221,2112.222222222222,2313.7739279541047,1479.6246921265108,12,4512
