Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.1,116,116,0.0,0.0,837.2222222222222,2624.722222222222,2011.81,1568.51,49,8884
1.6,116,116,10.0,14.025958902368462,673.7222222222221,2112.222222222222,2025.8000960567986,1567.530944315943,48,5409
3.2,116,116,10.0,30.025958902368462,673.7222222222221,2112.222222222222,2041.7591858036665,1566.4140944054343,47,1037
4.9,116,116,10.0,47.02595890236846,673.7222222222221,2112.222222222222,2058.719467321322,1565.2192862444156,45,5765
6.6,116,116,10.0,64.02595890236846,673.7222222222221,2112.222222222222,2075.678264503453,1563.9977446393818,44,0494
8.4,116,116,10.0,82.02595890236846,673.7222222222221,2112.222222222222,2093.630860440248,1562.6930042330614,42,4325
10.1,116,116,10.0,99.02595890236846,673.7222222222221,2112.222222222222,2110.586089936109,1561.4607494048696,40,9054
11.7,116,116,10.0,115.02595890236846,673.7222222222221,2112.222222222222,2126.5439529910377,1560.3009801548071,39,4681
13.4,116,116,10.0,132.02595890236844,673.7222222222221,2112.222222222222,2143.4991824868994,1559.0687253266153,37,9410
15.2,116,116,10.0,150.02595890236844,673.7222222222221,2112.222222222222,2161.433487855133,1557.510614689461,36,3241
16.9,116,116,10.0,167.02595890236847,673.7222222222221,2112.222222222222,2178.358241004605,1555.913066170564,34,7970
18.7,116,116,10.0,185.02595890236847,673.7222222222221,2112.222222222222,2195.6077277973704,1551.2250709687053,33,1801
20.2,116,116,10.0,200.02595890236844,673.7222222222221,2112.222222222222,2209.0917157784406,1544.6632792431562,31,8326
21.6,116,116,10.0,214.02595890236844,673.7222222222221,2112.222222222222,2221.4117661060773,1538.0126126369,30,5750
23.1,116,116,10.0,229.02595890236844,673.7222222222221,2112.222222222222,2234.6187402979676,1530.9052375532,29,2276
25.0,116,116,10.0,248.02595890236844,673.7222222222221,2112.222222222222,2251.3565300796467,1521.9098515527498,27,5208
26.6,116,116,10.0,264.0259589023685,673.7222222222221,2112.222222222222,2265.451510948429,1514.334789657634,26,0835
28.2,116,116,10.0,280.0259589023685,673.7222222222221,2112.222222222222,2279.5464918172115,1506.7597277625182,24,6462
30.0,116,116,10.0,298.0259589023684,673.7222222222221,2112.222222222222,2295.4033452945914,1498.2377831305128,23,0293
31.8,116,116,10.0,316.0259589023685,673.7222222222221,2112.222222222222,2311.0106869446586,1489.3310621930207,21,4124
33.5,116,116,10.0,333.0259589023685,673.7222222222221,2112.222222222222,2313.3779556917143,1473.0471528790335,19,8853
34.9,116,116,10.0,347.0259589023685,673.7222222222221,2112.222222222222,2312.8374574653994,1459.0611129260674,18,6277
36.9,116,116,10.0,367.0259589023685,673.7222222222221,2112.222222222222,2313.505024561909,1439.1112692508602,16,8311
38.8,116,116,10.0,386.0259589023685,673.7222222222221,2112.222222222222,2317.5423861477157,1420.6445306176577,15,1243
40.7,116,116,10.0,405.0259589023685,673.7222222222221,2112.222222222222,2326.364426670024,1403.8176467085425,13,4175
42.5,116,116,10.0,423.0259589023685,673.7222222222221,2112.222222222222,2334.731666759777,1387.8808479052516,11,8006
44.1,116,116,10.0,439.0259589023685,673.7222222222221,2112.222222222222,2342.1692135062244,1373.7148045245485,10,3633
45.8,116,116,10.0,456.02595890236853,673.7222222222221,2112.222222222222,2344.917518297952,1357.1449170254461,8,8362
47.6,116,116,10.0,474.02595890236853,673.7222222222221,2112.222222222222,2345.289638523426,1339.1497446124217,7,2193
49.4,116,116,10.0,492.02595890236853,673.7222222222221,2112.222222222222,2344.444502634266,1321.1838051124323,5,6024
50.9,116,116,10.0,507.02595890236853,673.7222222222221,2112.222222222222,2343.414905824862,1306.2200014834532,4,2549
52.6,116,116,10.0,524.0259589023685,673.7222222222221,2112.222222222222,2339.8371147288467,1289.7114958606578,50,0000
58.0,116,116,10.0,544.0259589023685,673.7222222222221,2112.222222222222,2332.4435795626987,1271.126209877694,45,1492
59.0,116,116,10.0,554.0259589023685,673.7222222222221,2112.222222222222,2328.3635369218414,1261.99839148482,44,2509
61.1,116,116,10.0,575.0259589023685,673.7222222222221,2112.222222222222,2321.7967028780495,1242.143188725133,42,3645
62.9,116,116,10.0,593.0259589023685,673.7222222222221,2112.222222222222,2318.8886663513426,1224.4030309677123,40,7475
64.1,116,116,10.0,605.0259589023685,673.7222222222221,2112.222222222222,2317.619329129258,1212.4697409157775,39,6696
65.6,116,116,10.0,620.0259589023685,673.7222222222221,2112.222222222222,2320.4629971413633,1197.7579614155727,38,3221
67.3,116,116,10.0,637.0259589023685,673.7222222222221,2112.222222222222,2323.8134420166243,1181.090511772084,36,7950
69.1,116,116,10.0,655.0259589023684,673.7222222222221,2112.222222222222,2327.4954853995728,1163.4744803857925,35,1781
70.9,116,116,10.0,673.0259589023684,673.7222222222221,2112.222222222222,2332.0890121662,1146.075807021522,33,5612
72.7,116,116,10.0,691.0259589023684,673.7222222222221,2112.222222222222,2336.946057309839,1128.7406497027805,31,9442
74.4,116,116,10.0,708.0259589023684,673.7222222222221,2112.222222222222,2341.383928382767,1112.3373326541255,30,4171
76.3,116,116,10.0,727.0259589023684,673.7222222222221,2112.222222222222,2346.19128586662,1093.956259921747,28,7104
77.9,116,116,10.0,743.0259589023684,673.7222222222221,2112.222222222222,2350.396755252049,1078.532889320252,27,2731
79.8,116,116,10.0,762.0259589023684,673.7222222222221,2112.222222222222,2361.4433458530275,1063.2138768010232,25,5663
81.6,116,116,10.0,780.0259589023684,673.7222222222221,2112.222222222222,2373.5095431989917,1049.8568570680661,23,9494
83.2,116,116,10.0,796.0259589023684,673.7222222222221,2112.222222222222,2384.23505195096,1037.983950638771,22,5121
85.1,116,116,10.0,815.0259589023684,673.7222222222221,2112.222222222222,2397.7533020935552,1024.6614194862957,20,8054
86.9,116,116,10.0,833.0259589023684,673.7222222222221,2112.222222222222,2411.0300668170257,1012.5069712052767,19,1884
88.7,116,116,10.0,851.0259589023684,673.7222222222221,2112.222222222222,2425.0314991930813,1001.1965538654473,17,5715
90.5,116,116,10.0,869.0259589023684,673.7222222222221,2112.222222222222,2439.6837309099124,990.8188023317325,15,9546
92.3,116,116,10.0,887.0259589023684,673.7222222222221,2112.222222222222,2455.1708426850932,981.6453371521276,14,3376
94.1,116,116,10.0,905.0259589023684,673.7222222222221,2112.222222222222,2470.4474485412966,972.1276247211744,12,7207
96.0,116,116,10.0,924.0259589023684,673.7222222222221,2112.222222222222,2482.143300504606,957.5578533833318,11,0139
97.8,116,116,10.0,942.0259589023684,673.7222222222221,2112.222222222222,2486.58554304912,940.2624081797803,9,3970
99.6,116,116,10.0,960.0259589023684,673.7222222222221,2112.222222222222,2488.6740325645624,922.3842364787848,7,7801
101.4,116,116,10.0,978.0259589023684,673.7222222222221,2112.222222222222,2490.3816351227288,904.4666131688092,6,1631
103.2,116,116,10.0,996.0259589023684,673.7222222222221,2112.222222222222,2492.1056947936263,886.5488374730057,4,5462
104.8,116,116,10.0,1012.0259589023684,673.7222222222221,2112.222222222222,2493.7062751545313,870.629017559457,3,1089
106.5,116,116,10.0,1029.0259589023685,673.7222222222221,2112.222222222222,2496.591704597698,853.8959579049263,50,0000
110.7,116,116,10.0,1047.0259589023685,673.7222222222221,2112.222222222222,2500.9747523888827,836.4721289467763,46,2272
112.5,116,116,10.0,1065.0259589023685,673.7222222222221,2112.222222222222,2509.8754945232263,820.932099539327,44,6102
114.4,116,116,10.0,1084.0259589023685,673.7222222222221,2112.222222222222,2524.299798828757,808.7026646602081,42,9035
116.1,116,116,10.0,1101.0259589023685,673.7222222222221,2112.222222222222,2538.6443162953337,799.5860479527531,41,3764
118.0,116,116,10.0,1120.0259589023685,673.7222222222221,2112.222222222222,2554.9725481769096,789.8713536147084,39,6696
119.8,116,116,10.0,1138.0259589023685,673.7222222222221,2112.222222222222,2570.441399433139,780.667958978666,38,0527
121.7,116,116,10.0,1157.0259589023685,673.7222222222221,2112.222222222222,2585.9157055193177,769.7203886128592,36,3459
123.6,116,116,10.0,1176.0259589023685,673.7222222222221,2112.222222222222,2599.855315634185,756.8834568755703,34,6391
125.3,116,116,10.0,1193.0259589023685,673.7222222222221,2112.222222222222,2611.929274825229,744.9316344153917,33,1120
126.9,116,116,10.0,1209.0259589023685,673.7222222222221,2112.222222222222,2623.6533532106514,734.0441934028587,31,6748
128.6,116,116,10.0,1226.0259589023685,673.7222222222221,2112.222222222222,2637.1415616707504,723.7279813530765,30,1477
130.4,116,116,10.0,1244.0259589023685,673.7222222222221,2112.222222222222,2653.9548014068528,717.8617850028154,28,5307
