Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
1.2,178,178,2.564434818307589,1.591059944034237,1332.0852158002372,4109.1953994992955,2676.6035672067965,1630.8978011501158,47,8687
2.8,178,178,10.0,17.591059944034235,582.51,1796.8000000000002,2679.08316119316,1615.0944205035537,46,6260
4.4,178,178,10.0,33.591059944034235,582.51,1796.8000000000002,2684.822432297941,1600.2385111181295,45,3833
6.0,178,178,10.0,49.591059944034235,582.51,1796.8000000000002,2693.225975559524,1586.6811251667705,44,1406
7.7,178,178,10.0,66.59105994403424,582.51,1796.8000000000002,2703.6605158323637,1573.2616678367658,42,8202
9.3,178,178,10.0,82.59105994403424,582.51,1796.8000000000002,2714.438839220756,1561.6115042063543,41,5776
10.9,178,178,10.0,98.59105994403424,582.51,1796.8000000000002,2727.291945686853,1552.084515174419,40,3349
12.5,178,178,10.0,114.59105994403424,582.51,1796.8000000000002,2740.074263479907,1542.4636193496965,39,0922
14.2,178,178,10.0,131.59105994403424,582.51,1796.8000000000002,2748.821168573796,1528.2987261828748,37,7718
15.8,178,178,10.0,147.59105994403424,582.51,1796.8000000000002,2754.2582943222988,1513.2508219912581,36,5291
17.4,178,178,10.0,163.59105994403424,582.51,1796.8000000000002,2759.5904967999504,1498.1648792677968,35,2864
19.1,178,178,10.0,180.59105994403424,582.51,1796.8000000000002,2764.955863575792,1482.0339382837433,33,9661
20.6,178,178,10.0,195.59105994403424,582.51,1796.8000000000002,2769.5819249712354,1467.7657489214034,32,8011
22.3,178,178,10.0,212.59105994403424,582.51,1796.8000000000002,2773.783023231428,1451.293858829001,31,4807
23.9,178,178,10.0,228.59105994403424,582.51,1796.8000000000002,2777.7336060849007,1435.7899225029796,30,2380
25.5,178,178,10.0,244.5910599440342,582.51,1796.8000000000002,2773.012052497847,1423.8743525803616,28,9953
27.2,178,178,10.0,261.5910599440342,582.51,1796.8000000000002,2756.319476355715,1420.6652789763007,27,6750
28.8,178,178,10.0,277.5910599440342,582.51,1796.8000000000002,2740.608816457238,1417.6449744077727,26,4323
30.4,178,178,10.0,293.5910599440342,582.51,1796.8000000000002,2724.8981565587605,1414.6246698392447,25,1896
32.1,178,178,10.0,310.59105994403427,582.51,1796.8000000000002,2708.185553723637,1411.5052636031,23,8693
33.7,178,178,10.0,326.59105994403427,582.51,1796.8000000000002,2692.381833723681,1408.9969580883637,22,6266
35.4,178,178,10.0,343.59105994403427,582.51,1796.8000000000002,2675.579297277077,1406.4218721573457,21,3062
37.0,178,178,10.0,359.59105994403427,582.51,1796.8000000000002,2659.765145327332,1403.9982618693284,20,0635
38.6,178,178,10.0,375.59105994403427,582.51,1796.8000000000002,2643.9509933775867,1401.5746515813114,18,8208
40.3,178,178,10.0,392.59105994403427,582.51,1796.8000000000002,2627.148456930983,1398.9995656502933,17,5005
41.9,178,178,10.0,408.59105994403427,582.51,1796.8000000000002,2611.284454498708,1396.978497252016,16,2578
43.5,178,178,10.0,424.59105994403427,582.51,1796.8000000000002,2595.3494399326532,1395.6041636436016,15,0151
45.2,178,178,10.0,441.59105994403427,582.51,1796.8000000000002,2578.358507940755,1395.2507341216344,13,6947
46.8,178,178,10.0,457.59105994403427,582.51,1796.8000000000002,2562.358940055966,1395.0643339231003,12,4521
48.4,178,178,10.0,473.59105994403427,582.51,1796.8000000000002,2546.358940055966,1394.7581076654346,11,2094
50.1,178,178,10.0,490.59105994403427,582.51,1796.8000000000002,2529.611590779137,1396.0482680525736,9,8890
51.7,178,178,10.0,506.59105994403427,582.51,1796.8000000000002,2514.456238925555,1401.1803619190996,8,6463
53.4,178,178,10.0,523.5910599440342,582.51,1796.8000000000002,2498.353677581125,1406.6332116522833,7,3260
55.0,178,178,10.0,539.5910599440342,582.51,1796.8000000000002,2483.1983257275433,1411.7653055188093,6,0833
56.7,178,178,10.0,556.5910599440342,582.51,1796.8000000000002,2467.7074438818863,1418.7281307834203,4,7629
58.3,178,178,10.0,572.5910599440342,582.51,1796.8000000000002,2453.253094210518,1425.5906997512707,3,5202
60.0,178,178,10.0,589.5910599440342,582.51,1796.8000000000002,2437.895347684689,1432.882179279612,50,0000
64.8,178,178,10.0,605.5910599440342,582.51,1796.8000000000002,2423.440998013321,1439.7447482474624,46,2719
66.5,178,178,10.0,622.5910599440342,582.51,1796.8000000000002,2408.083251487492,1447.0362277758038,44,9516
68.1,178,178,10.0,638.5910599440342,582.51,1796.8000000000002,2393.6289018161237,1453.8987967436544,43,7089
69.8,178,178,10.0,655.5910599440342,582.51,1796.8000000000002,2378.2711552902947,1461.1902762719956,42,3885
71.4,178,178,10.0,671.5910599440342,582.51,1796.8000000000002,2363.8168056189265,1468.0528452398462,41,1458
73.1,178,178,10.0,688.5910599440342,582.51,1796.8000000000002,2348.4590590930975,1475.3443247681873,39,8255
74.7,178,178,10.0,704.5910599440342,582.51,1796.8000000000002,2334.004709421729,1482.206893736038,38,5828
76.4,178,178,10.0,721.5910599440342,582.51,1796.8000000000002,2318.7141978496115,1489.6348776146485,37,2624
78.0,178,178,10.0,737.5910599440342,582.51,1796.8000000000002,2304.5015343031782,1496.9793403246238,36,0198
79.6,178,178,10.0,753.5910599440342,582.51,1796.8000000000002,2290.408354019586,1504.5526016345495,34,7771
81.3,178,178,10.0,770.5910599440342,582.51,1796.8000000000002,2275.4343499682695,1512.5991917763456,33,4567
82.9,178,178,10.0,786.5910599440342,582.51,1796.8000000000002,2261.3411696846774,1520.1724530862714,32,2140
84.6,178,178,10.0,803.5910599440342,582.51,1796.8000000000002,2246.3671656333604,1528.2190432280674,30,8937
86.2,178,178,10.0,819.5910599440342,582.51,1796.8000000000002,2232.2739853497683,1535.7923045379932,29,6510
87.8,178,178,10.0,835.5910599440342,582.51,1796.8000000000002,2218.189960543559,1543.3761551572481,28,4083
89.5,178,178,10.0,852.5910599440342,582.51,1796.8000000000002,2203.1234160947483,1551.2465281889895,27,0879
91.1,178,178,10.0,868.5910599440342,582.51,1796.8000000000002,2188.352485383326,1557.3626659618847,25,8453
92.7,178,178,10.0,884.5910599440342,582.51,1796.8000000000002,2172.568297828956,1559.6679034881013,24,6026
94.4,178,178,10.0,901.5910599440342,582.51,1796.8000000000002,2155.6435446794835,1561.2654520069982,23,2822
96.0,178,178,10.0,917.5910599440342,582.51,1796.8000000000002,2139.692821703674,1562.5520758273956,22,0395
97.6,178,178,10.0,933.5910599440342,582.51,1796.8000000000002,2123.7349586487453,1563.7118450774583,20,7968
99.3,178,178,10.0,950.5910599440342,582.51,1796.8000000000002,2106.7797291528836,1564.9440999056499,19,4765
100.9,178,178,10.0,966.5910599440342,582.51,1796.8000000000002,2090.8218660979555,1566.1038691557126,18,2338
102.5,178,178,10.0,982.5910599440342,582.51,1796.8000000000002,2074.864003043027,1567.2636384057753,16,9911
104.2,178,178,10.0,999.5910599440343,582.51,1796.8000000000002,2057.9098451494956,1568.4830798850046,15,6707
105.8,178,178,10.0,1015.5910599440342,582.51,1796.8000000000002,2041.9499294549678,1569.60667843639,14,4281
107.4,178,178,10.0,1031.5910599440342,582.51,1796.8000000000002,2025.9867486827866,1570.7235283468988,13,1854
109.1,178,178,10.0,1048.5910599440342,582.51,1796.8000000000002,2009.0252000558494,1571.9003199962767,11,8650
110.7,178,178,10.0,1064.5910599440342,582.51,1796.8000000000002,1993.0582713839344,1572.9486490784943,10,6223
112.4,178,178,10.0,1081.5910599440342,582.51,1796.8000000000002,1976.0928993035434,1574.0198060583966,9,3020
114.0,178,178,10.0,1097.5910599440342,582.51,1796.8000000000002,1960.1254902867047,1575.0279538041868,8,0593
115.6,178,178,10.0,1113.5910599440342,582.51,1796.8000000000002,1944.158081269866,1576.036101549977,6,8166
117.3,178,178,10.0,1184.25,582.51,1796.8000000000002,1859.0026077885952,1581.586926286509,5,4962
118.9,178,178,10.0,1200.25,582.51,1796.8000000000002,1843.03598540146,1582.6788138686131,4,2535
120.5,178,178,10.0,1293.3204871299786,582.51,1796.8000000000002,1785.2556125230938,1503.6584315544856,3,0109
122.2,178,178,10.0,1310.3204871299786,582.51,1796.8000000000002,1782.519112398753,1486.8801880751469,50,0000
127.1,178,178,10.0,1327.3204871299786,582.51,1796.8000000000002,1779.8465703744087,1470.0913122774969,46,1943
128.7,178,178,10.0,1343.3204871299786,582.51,1796.8000000000002,1777.3312367044377,1454.29001740912,44,9516
130.3,178,178,10.0,1359.3204871299786,582.51,1796.8000000000002,1774.8159030344668,1438.4887225407435,43,7089
131.9,178,178,10.0,1375.3204871299786,582.51,1796.8000000000002,1772.3005693644957,1422.687427672367,42,4662
133.6,178,178,10.0,1392.3204871299786,582.51,1796.8000000000002,1769.6280273401517,1405.8985518747168,41,1458
135.2,178,178,10.0,1408.3204871299786,582.51,1796.8000000000002,1767.2240981272107,1390.0807077166166,39,9032
136.9,178,178,10.0,1425.3204871299786,582.51,1796.8000000000002,1764.9272730686894,1373.2346152811608,38,5828
138.5,178,178,10.0,1441.3204871299786,582.51,1796.8000000000002,1762.8098633730135,1357.3729224339104,37,3401
140.2,178,178,10.0,1458.3204871299786,582.51,1796.8000000000002,1760.3952372950775,1340.5460438559016,36,0198
141.8,178,178,10.0,1474.3204871299786,582.51,1796.8000000000002,1758.0403217717756,1324.7202132628638,34,7771
143.4,178,178,10.0,1490.3204871299786,582.51,1796.8000000000002,1755.6854062484736,1308.8943826698262,33,5344
145.0,178,178,10.0,1506.3204871299786,582.51,1796.8000000000002,1753.3304907251716,1293.0685520767884,32,2917
