Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.9,166,166,1.8746364096186057,0.8707312150385114,1176.5237123365755,3629.340918016099,1375.7013527077154,1144.2917284995194,48,5882
2.5,166,166,10.0,16.87073121503851,582.51,1796.8000000000002,1372.969905120361,1128.5206802466078,47,3455
4.1,166,166,10.0,32.87073121503851,582.51,1796.8000000000002,1370.637411022983,1112.7092687849615,46,1028
5.8,166,166,10.0,49.87073121503851,582.51,1796.8000000000002,1383.6465452704467,1107.0537844253056,44,7824
7.4,166,166,10.0,65.87073121503852,582.51,1796.8000000000002,1399.5208249980528,1109.053574891518,43,5398
9.0,166,166,10.0,81.87073121503852,582.51,1796.8000000000002,1415.395104725659,1111.0533653577309,42,2971
10.6,166,166,10.0,97.87073121503852,582.51,1796.8000000000002,1431.269384453265,1113.0531558239436,41,0544
12.3,166,166,10.0,114.87073121503852,582.51,1796.8000000000002,1448.1358066638463,1115.1779331942946,39,7340
13.9,166,166,10.0,130.87073121503852,582.51,1796.8000000000002,1464.0100863914524,1117.1777236605071,38,4913
15.5,166,166,10.0,146.87073121503852,582.51,1796.8000000000002,1479.4317016066211,1120.7631078199195,37,2486
17.1,166,166,10.0,162.87073121503852,582.51,1796.8000000000002,1485.2655811364343,1134.8158057512899,36,0060
18.7,166,166,10.0,178.87073121503852,582.51,1796.8000000000002,1486.4372994394632,1150.7711960300894,34,7633
20.3,166,166,10.0,194.87073121503852,582.51,1796.8000000000002,1498.4289511267189,1158.1453826618144,33,5206
22.0,166,166,10.0,211.87073121503852,582.51,1796.8000000000002,1515.3880875305235,1159.3434702518518,32,2002
23.6,166,166,10.0,227.87073121503852,582.51,1796.8000000000002,1531.3360414688718,1160.6280460919972,30,9575
25.2,166,166,10.0,243.87073121503852,582.51,1796.8000000000002,1547.224911688269,1162.4995013302746,29,7148
26.8,166,166,10.0,259.8707312150385,582.51,1796.8000000000002,1563.0899841302391,1164.549090250462,28,4722
28.5,166,166,10.0,276.8707312150385,582.51,1796.8000000000002,1579.984637621187,1166.3946873246862,27,1518
30.1,166,166,10.0,292.8707312150385,582.51,1796.8000000000002,1595.97911469107,1166.0164182572078,25,9091
31.7,166,166,10.0,308.8707312150385,582.51,1796.8000000000002,1611.9430763151101,1165.1344663796212,24,6664
33.4,166,166,10.0,325.8707312150385,582.51,1796.8000000000002,1628.8614316901474,1163.4818011542768,23,3461
35.0,166,166,10.0,341.8707312150385,582.51,1796.8000000000002,1644.703316960469,1161.3257662317562,22,1034
36.7,166,166,10.0,358.8707312150385,582.51,1796.8000000000002,1661.4786258703562,1158.5595383425314,20,7830
38.3,166,166,10.0,374.87073121503846,582.51,1796.8000000000002,1677.324320558732,1156.3231790623292,19,5403
39.9,166,166,10.0,390.87073121503846,582.51,1796.8000000000002,1693.189489098058,1154.258759586674,18,2977
41.5,166,166,10.0,406.87073121503846,582.51,1796.8000000000002,1709.0546576373838,1152.1943401110184,17,0550
43.2,166,166,10.0,423.87073121503846,582.51,1796.8000000000002,1725.94006170145,1150.4766331252663,15,7346
44.8,166,166,10.0,439.87073121503846,582.51,1796.8000000000002,1733.7437270372723,1162.9118344356384,14,4919
46.4,166,166,10.0,455.87073121503846,582.51,1796.8000000000002,1736.6948826788525,1178.6367575826268,13,2492
48.0,166,166,10.0,471.87073121503846,582.51,1796.8000000000002,1739.6460383204328,1194.3616807296155,12,0065
49.7,166,166,10.0,488.87073121503846,582.51,1796.8000000000002,1742.781641189612,1211.0694115732908,10,6862
51.4,166,166,10.0,505.8707312150384,582.51,1796.8000000000002,1745.917244058791,1227.777142416966,9,3658
53.0,166,166,10.0,521.8707312150384,582.51,1796.8000000000002,1748.8683997003714,1243.5020655639546,8,1231
54.7,166,166,10.0,538.8707312150385,582.51,1796.8000000000002,1751.6792832653498,1260.2656070290034,6,8028
56.3,166,166,10.0,554.8707312150385,582.51,1796.8000000000002,1754.0341987886516,1276.0914376220412,5,5601
58.0,166,166,10.0,571.8707312150385,582.51,1796.8000000000002,1756.5362965321601,1292.9063826271438,4,2397
59.6,166,166,10.0,587.8707312150385,582.51,1796.8000000000002,1758.891212055462,1308.7322132201814,50,0000
64.5,166,166,10.0,604.8707312150385,582.51,1796.8000000000002,1761.3933097989702,1325.5471582252842,46,1943
66.1,166,166,10.0,620.8707312150385,582.51,1796.8000000000002,1763.7482253222722,1341.3729888183218,44,9516
67.7,166,166,10.0,636.8707312150384,582.51,1796.8000000000002,1766.021225158813,1357.2115373921506,43,7089
69.4,166,166,10.0,653.8707312150384,582.51,1796.8000000000002,1768.264058093298,1374.059681378386,42,3885
71.1,166,166,10.0,670.8707312150384,582.51,1796.8000000000002,1770.5746653020851,1390.898509091699,41,0682
72.7,166,166,10.0,686.8707312150385,582.51,1796.8000000000002,1772.9990268478148,1406.7131232993484,39,8255
74.4,166,166,10.0,703.8707312150385,582.51,1796.8000000000002,1775.6718359306717,1423.5020166253928,38,5051
76.0,166,166,10.0,719.8707312150385,582.51,1796.8000000000002,1778.187420949831,1439.303327991082,37,2624
77.6,166,166,10.0,735.8707312150385,582.51,1796.8000000000002,1780.7030059689905,1455.1046393567708,36,0198
79.3,166,166,10.0,752.8707312150385,582.51,1796.8000000000002,1783.3758150518474,1471.8935326828155,34,6994
80.9,166,166,10.0,768.8707312150385,582.51,1796.8000000000002,1785.8914000710067,1487.6948440485046,33,4567
82.5,166,166,10.0,784.8707312150385,582.51,1796.8000000000002,1788.4760590064081,1503.484669064355,32,2140
84.2,166,166,10.0,801.8707312150385,582.51,1796.8000000000002,1791.3805178315229,1520.2350411927562,30,8937
85.8,166,166,10.0,817.8707312150385,582.51,1796.8000000000002,1794.1141261375133,1536.0000973136046,29,6510
