Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.1,114,114,0.0,0.0,837.2222222222222,2624.722222222222,2453.72,1181.93,49,8884
1.6,114,114,10.0,14.025740035233508,673.7222222222221,2112.222222222222,2458.430840801494,1195.1387307449374,48,5409
3.2,114,114,10.0,30.025740035233508,673.7222222222221,2112.222222222222,2463.8047784785476,1210.2067194134927,47,1037
4.8,114,114,10.0,46.02574003523351,673.7222222222221,2112.222222222222,2469.1787161556017,1225.274708082048,45,6664
6.6,114,114,10.0,64.02574003523351,673.7222222222221,2112.222222222222,2472.85911787191,1242.4528107404385,44,0494
8.3,114,114,10.0,81.02574003523353,673.7222222222221,2112.222222222222,2456.754091205319,1244.4505425781804,42,5223
10.1,114,114,10.0,99.02574003523353,673.7222222222221,2112.222222222222,2438.796256725223,1243.2397525527256,40,9054
11.6,114,114,10.0,114.02574003523353,673.7222222222221,2112.222222222222,2423.831394658476,1242.2307608648466,39,5580
13.4,114,114,10.0,132.02574003523353,673.7222222222221,2112.222222222222,2405.8735601783796,1241.0199708393918,37,9410
15.1,114,114,10.0,149.02574003523353,673.7222222222221,2112.222222222222,2388.9133831693994,1239.8764469264622,36,4139
16.9,114,114,10.0,167.02574003523353,673.7222222222221,2112.222222222222,2370.9390299321085,1238.9588742158783,34,7970
18.6,114,114,10.0,184.02574003523353,673.7222222222221,2112.222222222222,2353.957731729389,1238.1902634784599,33,2699
20.2,114,114,10.0,200.02574003523353,673.7222222222221,2112.222222222222,2337.9753334209463,1237.4668651373602,31,8326
21.6,114,114,10.0,214.02574003523353,673.7222222222221,2112.222222222222,2324.245232306848,1235.6048181726019,30,5750
23.1,114,114,10.0,229.02574003523353,673.7222222222221,2112.222222222222,2318.6919422332694,1222.5535886600794,29,2276
25.0,114,114,10.0,248.02574003523353,673.7222222222221,2112.222222222222,2319.252852150988,1203.778066637218,27,5208
26.6,114,114,10.0,264.0257400352335,673.7222222222221,2112.222222222222,2322.406212033587,1188.0910552080522,26,0835
28.1,114,114,10.0,279.0257400352335,673.7222222222221,2112.222222222222,2325.3624869235236,1173.3844819932094,24,7361
29.9,114,114,10.0,297.0257400352335,673.7222222222221,2112.222222222222,2329.352817677086,1155.8414897608695,23,1191
31.7,114,114,10.0,315.0257400352335,673.7222222222221,2112.222222222222,2334.209862820725,1138.506332442128,21,5022
33.4,114,114,10.0,332.0257400352335,673.7222222222221,2112.222222222222,2338.746894698007,1122.1243171859262,19,9751
34.8,114,114,10.0,346.02574003523347,673.7222222222221,2112.222222222222,2342.360525630931,1108.6032843523226,18,7175
36.5,114,114,10.0,363.02574003523347,673.7222222222221,2112.222222222222,2346.6618454849045,1092.157061381247,17,1904
37.9,114,114,10.0,377.0257400352335,673.7222222222221,2112.222222222222,2350.3397968795643,1078.6609652086634,15,9328
39.6,114,114,10.0,394.0257400352335,673.7222222222221,2112.222222222222,2360.020712765146,1064.8121421574278,14,4057
