Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
1.4,186,186,0.4971686277395902,0.07488987165805275,1101.6873722870673,3398.5744233113714,1466.9429142833044,1867.78316765859,47,9435
3.0,186,186,10.0,16.07488987165805,582.51,1796.8000000000002,1452.5683802208912,1874.7949000497688,46,7008
4.6,186,186,10.0,32.07488987165805,582.51,1796.8000000000002,1438.0794333161682,1881.5843354810438,45,4581
6.2,186,186,10.0,48.07488987165805,582.51,1796.8000000000002,1423.5419198249892,1888.2676500964064,44,2155
7.9,186,186,10.0,65.07488987165806,582.51,1796.8000000000002,1407.2937483481487,1893.0038254206158,42,8951
9.5,186,186,10.0,81.07488987165806,582.51,1796.8000000000002,1394.0120801011383,1887.5683204045529,41,6524
11.1,186,186,10.0,97.07488987165806,582.51,1796.8000000000002,1391.7155018935832,1871.7536197579377,40,4097
12.7,186,186,10.0,113.07488987165806,582.51,1796.8000000000002,1400.0883664214898,1860.2297442488848,39,1670
14.4,186,186,10.0,130.07488987165806,582.51,1796.8000000000002,1415.7343982717105,1853.661341842478,37,8467
16.0,186,186,10.0,146.07488987165806,582.51,1796.8000000000002,1429.8088201324654,1846.04994466799,36,6040
17.6,186,186,10.0,162.07488987165806,582.51,1796.8000000000002,1443.8832419932203,1838.438547493502,35,3613
19.2,186,186,10.0,178.07488987165806,582.51,1796.8000000000002,1457.7665298775662,1830.4910745371312,34,1186
20.8,186,186,10.0,194.07488987165806,582.51,1796.8000000000002,1471.2462385144029,1821.872968397693,32,8759
22.4,186,186,10.0,210.07488987165806,582.51,1796.8000000000002,1484.7259471512393,1813.254862258255,31,6332
24.0,186,186,10.0,226.07488987165806,582.51,1796.8000000000002,1498.205655788076,1804.636756118817,30,3905
25.7,186,186,10.0,243.07488987165806,582.51,1796.8000000000002,1512.527846214715,1795.480018345664,29,0702
27.3,186,186,10.0,259.07488987165806,582.51,1796.8000000000002,1525.359557188149,1786.0561774304313,27,8275
29.0,186,186,10.0,276.07488987165806,582.51,1796.8000000000002,1537.3687000727434,1774.0261475697744,26,5071
30.6,186,186,10.0,292.07488987165806,582.51,1796.8000000000002,1548.2441386532682,1762.2949710151352,25,2645
32.2,186,186,10.0,308.07488987165806,582.51,1796.8000000000002,1559.6789356832237,1751.113478248825,24,0218
33.9,186,186,10.0,325.07488987165806,582.51,1796.8000000000002,1572.0523587296188,1739.4595131302995,22,7014
35.5,186,186,10.0,341.07488987165806,582.51,1796.8000000000002,1583.8097442451326,1728.6106878576345,21,4587
