Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.7,158,158,1.4734967922664786,0.5153995694231696,1217.0398450739567,3754.361376619479,2258.2859458871626,1625.2370449046593,48,8641
2.3,158,158,10.0,16.51539956942317,582.51,1796.8000000000002,2242.3277140737273,1626.3870623080702,47,6214
3.9,158,158,10.0,32.51539956942317,582.51,1796.8000000000002,2226.3694822602915,1627.5370797114813,46,3787
5.5,158,158,10.0,48.51539956942317,582.51,1796.8000000000002,2210.4112504468562,1628.6870971148924,45,1360
7.2,158,158,10.0,65.51539956942317,582.51,1796.8000000000002,2194.201484683338,1626.8257022802848,43,8157
8.8,158,158,10.0,81.51539956942317,582.51,1796.8000000000002,2191.7377325391367,1611.3048066027507,42,5730
10.4,158,158,10.0,97.51539956942317,582.51,1796.8000000000002,2191.0123620073146,1595.3215459227158,41,3303
12.0,158,158,10.0,113.51539956942317,582.51,1796.8000000000002,2190.2869914754924,1579.3382852426807,40,0876
13.7,158,158,10.0,130.51539956942318,582.51,1796.8000000000002,2189.315485065289,1562.3811455531027,38,7673
15.3,158,158,10.0,146.51539956942315,582.51,1796.8000000000002,2175.34162807593,1559.4061253936536,37,5246
16.9,158,158,10.0,162.51539956942315,582.51,1796.8000000000002,2159.4124486411324,1560.9097004702626,36,2819
18.5,158,158,10.0,178.51539956942315,582.51,1796.8000000000002,2143.4685123180807,1562.2776700465422,35,0392
20.1,158,158,10.0,194.51539956942315,582.51,1796.8000000000002,2127.510649263152,1563.437439296605,33,7965
21.7,158,158,10.0,210.51539956942315,582.51,1796.8000000000002,2111.552786208224,1564.5972085466676,32,5538
23.4,158,158,10.0,227.51539956942315,582.51,1796.8000000000002,2094.5975567123623,1565.8294633748592,31,2335
25.0,158,158,10.0,243.51539956942315,582.51,1796.8000000000002,2078.639693657434,1566.989232624922,29,9908
26.6,158,158,10.0,259.51539956942315,582.51,1796.8000000000002,2062.6822212482575,1568.1443308508544,28,7481
28.3,158,158,10.0,276.51539956942315,582.51,1796.8000000000002,2045.7268782613428,1569.3424275332275,27,4277
29.9,158,158,10.0,292.51539956942315,582.51,1796.8000000000002,2029.7636974891616,1570.4592774437363,26,1850
31.5,158,158,10.0,308.51539956942315,582.51,1796.8000000000002,2013.8005167169806,1571.576127354245,24,9424
33.2,158,158,10.0,325.5153995694232,582.51,1796.8000000000002,1996.8362206089503,1572.7101175176824,23,6220
34.8,158,158,10.0,341.5153995694232,582.51,1796.8000000000002,1980.8688115921116,1573.7182652634726,22,3793
36.4,158,158,10.0,357.5153995694232,582.51,1796.8000000000002,1964.9014025752729,1574.726413009263,21,1366
38.1,158,158,10.0,374.5153995694232,582.51,1796.8000000000002,1947.9360304948818,1575.7975699891651,19,8163
39.7,158,158,10.0,390.51539956942315,582.51,1796.8000000000002,1931.9686214780431,1576.8057177349556,18,5736
41.3,158,158,10.0,406.51539956942315,582.51,1796.8000000000002,1915.9957189030642,1577.8003312619278,17,3309
42.9,158,158,10.0,422.5153995694232,582.51,1796.8000000000002,1900.0210629556734,1578.7653614425733,16,0882
44.6,158,158,10.0,439.51539956942315,582.51,1796.8000000000002,1883.0505675563595,1579.7786181275874,14,7678
46.2,158,158,10.0,455.51539956942315,582.51,1796.8000000000002,1867.0950895209844,1580.9789744986306,13,5252
47.8,158,158,10.0,471.5153995694232,582.51,1796.8000000000002,1851.1336589832251,1582.135285088277,12,2825
49.5,158,158,10.0,488.5153995694232,582.51,1796.8000000000002,1834.1691163837977,1583.2324141024744,10,9621
51.1,158,158,10.0,504.5153995694232,582.51,1796.8000000000002,1818.20248447556,1584.2292858438718,9,7194
52.8,158,158,10.0,521.5153995694232,582.51,1796.8000000000002,1801.536697898531,1583.3387586138879,8,3991
54.4,158,158,10.0,537.5153995694233,582.51,1796.8000000000002,1796.4811745688887,1568.6231203757245,7,1564
56.1,158,158,10.0,554.5153995694232,582.51,1796.8000000000002,1793.6103315835421,1551.865651025585,5,8360
57.7,158,158,10.0,570.5153995694232,582.51,1796.8000000000002,1790.8780829227355,1536.100415846743,4,5933
59.3,158,158,10.0,586.5153995694232,582.51,1796.8000000000002,1788.145834261929,1520.335180667901,3,3506
60.9,158,158,10.0,602.5153995694232,582.51,1796.8000000000002,1785.4135856011223,1504.5699454890591,50,0000
65.8,158,158,10.0,618.5153995694232,582.51,1796.8000000000002,1782.821752246172,1488.7813678371333,46,1943
67.4,158,158,10.0,634.5153995694232,582.51,1796.8000000000002,1780.3064185762012,1472.9800729687565,44,9516
69.1,158,158,10.0,651.5153995694232,582.51,1796.8000000000002,1777.633876551857,1456.1911971711065,43,6312
70.8,158,158,10.0,668.5153995694232,582.51,1796.8000000000002,1774.9613345275127,1439.4023213734563,42,3109
72.4,158,158,10.0,684.5153995694232,582.51,1796.8000000000002,1772.4460008575418,1423.6010265050797,41,0682
74.1,158,158,10.0,701.5153995694232,582.51,1796.8000000000002,1769.7734588331975,1406.8121507074295,39,7478
75.7,158,158,10.0,717.5153995694232,582.51,1796.8000000000002,1767.3564352748006,1390.9962517328747,38,5051
77.3,158,158,10.0,733.5153995694232,582.51,1796.8000000000002,1765.1774903992145,1375.1438439968238,37,2624
79.0,158,158,10.0,750.5153995694232,582.51,1796.8000000000002,1762.0490198748507,1358.6036314044495,35,9421
80.6,158,158,10.0,766.5153995694233,582.51,1796.8000000000002,1746.64053178853,1357.2742980614319,34,6994
82.2,158,158,10.0,782.5153995694233,582.51,1796.8000000000002,1730.6658061195562,1358.1695297199062,33,4567
83.9,158,158,10.0,799.5153995694233,582.51,1796.8000000000002,1713.6926600962718,1359.1207133570351,32,1364
