Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
1.6,196,196,3.1114011893515543,2.6522263660486463,1357.762720033018,4188.375953208144,1916.6625804408352,1522.031153892791,47,1034
3.2,196,196,10.0,18.652226366048644,582.51,1796.8000000000002,1917.160760788591,1538.0246840181449,45,8608
4.8,196,196,10.0,34.652226366048644,582.51,1796.8000000000002,1917.6589411363468,1554.0182141434987,44,6181
6.5,196,196,10.0,51.652226366048644,582.51,1796.8000000000002,1917.8743136007197,1570.997674902712,43,2977
8.1,196,196,10.0,67.65222636604864,582.51,1796.8000000000002,1905.7542685101048,1578.4230491695432,42,0550
9.7,196,196,10.0,83.65222636604864,582.51,1796.8000000000002,1889.7820375460444,1579.3767025201446,40,8123
11.3,196,196,10.0,99.65222636604864,582.51,1796.8000000000002,1873.8190969412856,1580.4671653649978,39,5696
13.0,196,196,10.0,116.65222636604864,582.51,1796.8000000000002,1856.8648506013353,1581.735898912799,38,2493
14.6,196,196,10.0,132.65222636604864,582.51,1796.8000000000002,1840.8982266607836,1582.8122841766126,37,0066
16.2,196,196,10.0,148.65222636604864,582.51,1796.8000000000002,1824.9315947525458,1583.8091559180098,35,7639
17.8,196,196,10.0,164.65222636604864,582.51,1796.8000000000002,1808.964962844308,1584.8060276594072,34,5212
19.5,196,196,10.0,181.65222636604864,582.51,1796.8000000000002,1792.0005249761325,1585.887482889603,33,2009
21.0,196,196,10.0,196.65222636604864,582.51,1796.8000000000002,1777.043534113789,1586.9471713882194,32,0358
22.7,196,196,10.0,213.65222636604864,582.51,1796.8000000000002,1760.4123418272584,1590.1541520970272,30,7155
24.3,196,196,10.0,229.65222636604864,582.51,1796.8000000000002,1746.2834254318384,1597.6373524740425,29,4728
25.9,196,196,10.0,245.65222636604864,582.51,1796.8000000000002,1732.8851879749475,1606.3392933073437,28,2301
27.6,196,196,10.0,262.65222636604864,582.51,1796.8000000000002,1719.4367675968954,1616.7287491773973,26,9098
29.2,196,196,10.0,278.65222636604864,582.51,1796.8000000000002,1707.3294402280524,1627.1882113747406,25,6671
30.8,196,196,10.0,294.6522263660487,582.51,1796.8000000000002,1696.3665415960697,1638.7985428305171,24,4244
32.5,196,196,10.0,311.6522263660487,582.51,1796.8000000000002,1685.2439872394277,1651.6544822817002,23,1040
34.1,196,196,10.0,327.6522263660487,582.51,1796.8000000000002,1675.378767958809,1664.2316223858545,21,8613
35.8,196,196,10.0,344.6522263660487,582.51,1796.8000000000002,1665.4178519517764,1678.0072003007656,20,5410
37.4,196,196,10.0,360.6522263660487,582.51,1796.8000000000002,1656.0428721804515,1690.9724501030348,19,2983
39.0,196,196,10.0,376.6522263660487,582.51,1796.8000000000002,1646.3191299102866,1703.6755137148332,18,0556
40.6,196,196,10.0,392.6522263660487,582.51,1796.8000000000002,1636.2162393568947,1716.051525636901,16,8129
42.3,196,196,10.0,409.6522263660487,582.51,1796.8000000000002,1623.7533156496268,1727.6109899655155,15,4926
43.9,196,196,10.0,425.6522263660487,582.51,1796.8000000000002,1610.4301741821089,1736.4699881924312,14,2499
45.5,196,196,10.0,441.6522263660487,582.51,1796.8000000000002,1596.632476061893,1744.5565918494324,13,0072
47.1,196,196,10.0,457.6522263660487,582.51,1796.8000000000002,1583.0655190476339,1753.0326020756497,11,7645
48.8,196,196,10.0,474.6522263660487,582.51,1796.8000000000002,1568.6260868173404,1762.009430307835,10,4441
50.4,196,196,10.0,490.6522263660487,582.51,1796.8000000000002,1555.0110307558075,1770.4176324353296,9,2015
52.1,196,196,10.0,507.6522263660487,582.51,1796.8000000000002,1540.6437014295152,1779.490666033109,7,8811
53.7,196,196,10.0,523.6522263660487,582.51,1796.8000000000002,1527.823564876972,1789.0674889952695,6,6384
55.4,196,196,10.0,540.6522263660486,582.51,1796.8000000000002,1513.7110873864597,1798.5147114474732,5,3181
57.0,196,196,10.0,556.6522263660486,582.51,1796.8000000000002,1500.2313787496232,1807.134898752364,4,0754
58.6,196,196,10.0,572.6522263660486,582.51,1796.8000000000002,1486.7516701127865,1815.7550860572546,50,0000
63.5,196,196,10.0,589.6522263660486,582.51,1796.8000000000002,1472.4294796861475,1824.9140350687012,46,1943
65.1,196,196,10.0,605.6522263660486,582.51,1796.8000000000002,1458.949771049311,1833.5342223735918,44,9516
66.7,196,196,10.0,621.6522263660486,582.51,1796.8000000000002,1445.046597065654,1841.4522348928783,43,7089
68.4,196,196,10.0,638.6522263660486,582.51,1796.8000000000002,1430.0963577417037,1849.5393890539603,42,3885
70.1,196,196,10.0,701.3,582.51,1796.8000000000002,1357.0659978070175,1869.9876425438597,41,0682
71.7,196,196,10.0,717.3,582.51,1796.8000000000002,1341.174521322253,1871.8480190741843,39,8255
73.4,196,196,10.0,734.3,582.51,1796.8000000000002,1324.1999999999998,1872.315895348837,38,5051
75.0,196,196,10.0,750.3,582.51,1796.8000000000002,1308.2103427172583,1871.980746634027,37,2624
76.7,196,196,10.0,767.3,582.51,1796.8000000000002,1294.5882089552238,1877.23,35,9421
78.3,196,196,10.0,783.3,582.51,1796.8000000000002,1294.23,1893.23,34,6994
