Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.5,141,141,0.9749673856337675,0.24695775608223525,982.8374615290202,3081.2883183617723,1959.370811665942,1495.9361773106425,49,3448
2.2,141,141,10.0,15.51471654447438,673.7222222222221,2112.222222222222,1956.9480570976743,1480.8622388877118,47,8177
3.7,141,141,10.0,30.514716544474382,673.7222222222221,2112.222222222222,1954.5677916620136,1466.0526601225647,46,4702
5.6,141,141,10.0,49.51471654447438,673.7222222222221,2112.222222222222,1951.5527887768435,1447.2938603533782,44,7635
7.4,141,141,10.0,67.51471654447438,673.7222222222221,2112.222222222222,1948.6964702540506,1429.5223658352015,43,1465
9.1,141,141,10.0,84.51471654447438,673.7222222222221,2112.222222222222,1945.9988360936352,1412.738176568035,41,6194
10.7,141,141,10.0,100.51471654447438,673.7222222222221,2112.222222222222,1943.459886295597,1396.941292551878,40,1822
12.4,141,141,10.0,117.51471654447438,673.7222222222221,2112.222222222222,1940.7622521351816,1380.1571032847112,38,6550
14.2,141,141,10.0,135.5147165444744,673.7222222222221,2112.222222222222,1944.8237963947454,1385.3136757112497,37,0381
16.0,141,141,10.0,153.51471654447437,673.7222222222221,2112.222222222222,1947.6815987193684,1403.0851702294262,35,4212
17.7,141,141,10.0,170.51471654447437,673.7222222222221,2112.222222222222,1950.3806342481787,1419.869359496593,33,8941
19.5,141,141,10.0,188.51471654447437,673.7222222222221,2112.222222222222,1953.2384365728017,1437.6408540147697,32,2771
20.6,141,141,10.0,199.51471654447437,673.7222222222221,2112.222222222222,1954.984871326738,1448.5012117758774,31,2890
22.3,141,141,10.0,216.51471654447437,673.7222222222221,2112.222222222222,1957.6839068555482,1465.2854010430442,29,7619
23.4,141,141,10.0,227.51471654447437,673.7222222222221,2112.222222222222,1959.4303416094845,1476.1457588041521,28,7738
25.1,141,141,10.0,244.51471654447437,673.7222222222221,2112.222222222222,1962.129377138295,1492.929948071319,27,2467
26.8,141,141,10.0,261.51471654447437,673.7222222222221,2112.222222222222,1955.0782359437433,1505.1848767384863,25,7196
28.4,141,141,10.0,277.5147165444744,673.7222222222221,2112.222222222222,1939.1356176758832,1506.3022824206873,24,2823
30.1,141,141,10.0,294.5147165444744,673.7222222222221,2112.222222222222,1922.5834515062809,1509.7201176559154,22,7552
31.9,141,141,10.0,312.5147165444744,673.7222222222221,2112.222222222222,1916.751084987434,1524.8724946615207,21,1383
33.7,141,141,10.0,330.5147165444744,673.7222222222221,2112.222222222222,1917.3115378786592,1542.8652160525437,19,5213
35.0,141,141,10.0,343.5147165444744,673.7222222222221,2112.222222222222,1917.716309411211,1555.8599592793937,18,3536
36.9,141,141,10.0,362.51471654447437,673.7222222222221,2112.222222222222,1916.6633992818347,1574.5666101652746,16,6468
