Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
5.5,0_run1,0_run1,10.42375051082433,29.860580695689237,1636.2152027483946,5047.165737080586,1986.0061651603494,1275.5245153400122,38,0011
13.7,0_run1,0_run1,10.0,111.92125156883536,582.51,1796.8000000000002,1904.847259974883,1265.7367676037225,31,6323
21.8,0_run1,0_run1,10.0,192.92125156883534,582.51,1796.8000000000002,1825.0219472749534,1261.8702009256767,25,3412
29.9,0_run1,0_run1,10.0,273.9212515688354,582.51,1796.8000000000002,1835.1716503422783,1342.0747062443784,19,0501
38.0,0_run1,0_run1,10.0,354.9212515688353,582.51,1796.8000000000002,1845.6531846870168,1422.394250166645,12,7590
46.2,0_run1,0_run1,10.0,436.9212515688353,582.51,1796.8000000000002,1855.7566080583874,1503.7724099239756,6,3902
54.2,0_run1,0_run1,10.0,516.9212515688353,582.51,1796.8000000000002,1816.3803003759854,1558.737194295166,50,0000
78.5,0_run1,0_run1,10.0,597.9212515688353,582.51,1796.8000000000002,1745.7463883193989,1597.945191666626,31,1267
86.7,0_run1,0_run1,10.0,679.9212515688353,582.51,1796.8000000000002,1684.838978917891,1652.122608783217,24,7579
94.8,0_run1,0_run1,10.0,760.9212515688353,582.51,1796.8000000000002,1635.7627595914037,1716.472869041058,18,4668
102.9,0_run1,0_run1,10.0,841.9212515688355,582.51,1796.8000000000002,1568.9496785682704,1761.8082570539893,12,1757
111.0,0_run1,0_run1,10.0,922.9212515688354,582.51,1796.8000000000002,1501.3948248684512,1806.3908824139069,5,8846
119.2,0_run1,0_run1,10.0,1004.9212515688354,582.51,1796.8000000000002,1431.3108226663321,1848.8824386964525,50,0000
143.4,0_run1,0_run1,10.0,1086.9212515688353,582.51,1796.8000000000002,1353.2411391354467,1870.4384332291374,31,2043
151.5,0_run1,0_run1,10.0,1167.9212515688353,582.51,1796.8000000000002,1272.3926841149141,1870.556119293996,24,9132
159.7,0_run1,0_run1,10.0,1249.9212515688353,582.51,1796.8000000000002,1190.8701749486168,1863.9859786796542,18,5445
167.8,0_run1,0_run1,10.0,1330.9212515688353,582.51,1796.8000000000002,1110.170281977515,1862.287599609831,12,2534
175.9,0_run1,0_run1,10.0,1411.9212515688353,582.51,1796.8000000000002,1039.4987227595498,1848.733563465121,5,9622
184.0,0_run1,0_run1,10.0,1492.9212515688357,582.51,1796.8000000000002,1047.1446066921362,1812.0335156004342,50,0000
