Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
1.4,187,187,2.854576164473388,2.090069587693142,980.7273790778698,3025.2760091648215,1124.775469270384,1095.3579129432983,48,1693
3.0,187,187,10.0,18.090069587693144,582.51,1796.8000000000002,1125.5063101644569,1111.3414032966716,46,9266
4.6,187,187,10.0,34.090069587693144,582.51,1796.8000000000002,1124.5127652666415,1127.2816478964828,45,6839
6.3,187,187,10.0,51.090069587693144,582.51,1796.8000000000002,1122.8859545624312,1144.2038334691445,44,3636
7.9,187,187,10.0,67.09006958769314,582.51,1796.8000000000002,1120.3088056715821,1159.992220731955,43,1209
9.5,187,187,10.0,83.09006958769314,582.51,1796.8000000000002,1117.6459476230232,1175.769269863591,41,8782
11.1,187,187,10.0,99.09006958769314,582.51,1796.8000000000002,1115.000715054438,1191.549262747503,40,6355
12.8,187,187,10.0,116.09006958769314,582.51,1796.8000000000002,1119.6198084069256,1206.1254585660065,39,3152
14.4,187,187,10.0,132.09006958769314,582.51,1796.8000000000002,1135.5956715341542,1205.2905206113114,38,0725
16.0,187,187,10.0,148.09006958769314,582.51,1796.8000000000002,1151.5457301017284,1205.4217406077196,36,8298
17.6,187,187,10.0,164.09006958769314,582.51,1796.8000000000002,1167.4976068133049,1206.6664949084836,35,5871
19.3,187,187,10.0,181.09006958769314,582.51,1796.8000000000002,1184.453871381922,1207.875809613877,34,2667
20.8,187,187,10.0,196.09006958769314,582.51,1796.8000000000002,1199.418555883515,1208.8913726280437,33,1017
22.4,187,187,10.0,212.0900695876931,582.51,1796.8000000000002,1215.3808860185475,1209.9746398431548,31,8590
24.1,187,187,10.0,229.0900695876931,582.51,1796.8000000000002,1232.3408617870193,1211.1256112592102,30,5387
25.7,187,187,10.0,245.0900695876931,582.51,1796.8000000000002,1248.3013267231395,1212.2346019855133,29,2960
27.3,187,187,10.0,261.0900695876931,582.51,1796.8000000000002,1264.256137108708,1213.4061769325974,28,0533
29.0,187,187,10.0,278.0900695876931,582.51,1796.8000000000002,1281.219428498144,1214.4843795214501,26,7329
30.6,187,187,10.0,294.0900695876931,582.51,1796.8000000000002,1297.1928675645293,1215.4188580417306,25,4903
32.2,187,187,10.0,310.0900695876931,582.51,1796.8000000000002,1313.1663066309143,1216.353336562011,24,2476
33.9,187,187,10.0,327.0900695876931,582.51,1796.8000000000002,1330.1299072677637,1217.4654051973364,22,9272
35.5,187,187,10.0,343.0900695876931,582.51,1796.8000000000002,1346.0812721835273,1218.7215751844528,21,6845
37.2,187,187,10.0,360.0900695876931,582.51,1796.8000000000002,1363.0224860694923,1220.1432893069923,20,3642
38.8,187,187,10.0,376.0900695876931,582.51,1796.8000000000002,1378.966191389323,1221.493202780808,19,1215
40.4,187,187,10.0,392.09006958769305,582.51,1796.8000000000002,1394.8943549812982,1223.0763335397744,17,8788
42.0,187,187,10.0,408.09006958769305,582.51,1796.8000000000002,1410.786367806566,1224.9460157648732,16,6361
43.7,187,187,10.0,425.09006958769305,582.51,1796.8000000000002,1427.6407526886348,1227.1318783558313,15,3157
45.3,187,187,10.0,441.09006958769305,582.51,1796.8000000000002,1443.245173250363,1230.6587408910539,14,0731
46.9,187,187,10.0,457.09006958769305,582.51,1796.8000000000002,1459.0797157131908,1232.7645112908413,12,8304
48.5,187,187,10.0,473.09006958769305,582.51,1796.8000000000002,1474.9884956447759,1234.4429605496782,11,5877
50.2,187,187,10.0,490.09006958769305,582.51,1796.8000000000002,1491.894320123046,1236.2060706633133,10,2673
51.8,187,187,10.0,506.09006958769305,582.51,1796.8000000000002,1507.8346476868467,1237.6388190528344,9,0246
53.5,187,187,10.0,523.090069587693,582.51,1796.8000000000002,1524.7871378887578,1238.9428567606737,7,7043
55.1,187,187,10.0,539.090069587693,582.51,1796.8000000000002,1540.7250075053869,1240.3524817586365,6,4616
56.8,187,187,10.0,556.090069587693,582.51,1796.8000000000002,1557.6177633696382,1242.2817919203674,5,1412
58.4,187,187,10.0,572.090069587693,582.51,1796.8000000000002,1573.5222625621973,1244.0758675983668,3,8985
60.1,187,187,10.0,589.090069587693,582.51,1796.8000000000002,1590.418587676658,1245.9463039208738,50,0000
64.9,187,187,10.0,605.0900695876929,582.51,1796.8000000000002,1606.3243754748332,1247.6538822571954,46,2719
66.6,187,187,10.0,622.0900695876929,582.51,1796.8000000000002,1623.2491411029425,1249.219736734095,44,9516
68.2,187,187,10.0,638.0900695876929,582.51,1796.8000000000002,1639.2041215676302,1250.3555504590577,43,7089
69.9,187,187,10.0,655.0900695876929,582.51,1796.8000000000002,1656.1870252018384,1251.0818328667929,42,3885
71.6,187,187,10.0,672.0900695876929,582.51,1796.8000000000002,1673.1803307785133,1251.2768657101578,41,0682
73.2,187,187,10.0,688.090069587693,582.51,1796.8000000000002,1689.1899344650315,1251.1525682536017,39,8255
74.8,187,187,10.0,704.090069587693,582.51,1796.8000000000002,1705.1868897457164,1250.9851086912802,38,5828
76.5,187,187,10.0,721.090069587693,582.51,1796.8000000000002,1722.1836547314442,1250.8071829063133,37,2624
78.1,187,187,10.0,737.090069587693,582.51,1796.8000000000002,1738.1806100121294,1250.6397233439916,36,0198
79.7,187,187,10.0,753.0900695876929,582.51,1796.8000000000002,1754.1800695876932,1251.0230593090926,34,7771
81.4,187,187,10.0,770.0900695876929,582.51,1796.8000000000002,1771.1429541218931,1252.1467586780113,33,4567
83.0,187,187,10.0,786.0900695876929,582.51,1796.8000000000002,1787.1012222491754,1253.3124689892616,32,2140
84.7,187,187,10.0,803.0900695876929,582.51,1796.8000000000002,1804.0568821344127,1254.5510361949648,30,8937
86.3,187,187,10.0,819.0900695876929,582.51,1796.8000000000002,1819.692938177703,1256.9935680977308,29,6510
87.9,187,187,10.0,835.0900695876929,582.51,1796.8000000000002,1825.4830590527688,1271.1639643048109,28,4083
89.6,187,187,10.0,852.0900695876929,582.51,1796.8000000000002,1827.7843491441502,1288.007092776411,27,0879
91.2,187,187,10.0,868.0900695876929,582.51,1796.8000000000002,1829.9502692301562,1303.8594489849756,25,8453
92.8,187,187,10.0,884.0900695876929,582.51,1796.8000000000002,1832.1161893161625,1319.7118051935406,24,6026
94.5,187,187,10.0,901.0900695876929,582.51,1796.8000000000002,1834.4174794075439,1336.5549336651407,23,2822
96.1,187,187,10.0,917.0900695876929,582.51,1796.8000000000002,1836.58339949355,1352.4072898737054,22,0395
97.7,187,187,10.0,933.0900695876929,582.51,1796.8000000000002,1838.749319579556,1368.2596460822701,20,7968
